Age,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Core_Communication,Core_Teamwork,Core_ProblemSolving,Core_Adaptability,Core_TimeManagement,Core_Initiative,Core_Accountability,Core_LearningAgility,Dept_Comp1,Dept_Comp2,Dept_Comp3,Role_Comp1,Role_Comp2,PerformanceScore,CORE_COMM_01,CORE_COMM_02,CORE_COMM_03,CORE_COMM_04,CORE_TEAM_01,CORE_TEAM_02,CORE_TEAM_03,CORE_TEAM_04,CORE_PROB_01,CORE_PROB_02,CORE_PROB_03,CORE_PROB_04,CORE_ADAPT_01,CORE_ADAPT_02,CORE_ADAPT_03,CORE_ADAPT_04,CORE_TIME_01,CORE_TIME_02,CORE_TIME_03,CORE_TIME_04,CORE_INIT_01,CORE_INIT_02,CORE_INIT_03,CORE_INIT_04,CORE_ACCT_01,CORE_ACCT_02,CORE_ACCT_03,CORE_ACCT_04,CORE_LEARN_01,CORE_LEARN_02,CORE_LEARN_03,CORE_LEARN_04,DEPT_COMP1_01,DEPT_COMP1_02,DEPT_COMP1_03,DEPT_COMP2_01,DEPT_COMP2_02,DEPT_COMP2_03,DEPT_COMP3_01,DEPT_COMP3_02,DEPT_COMP3_03,ROLE_COMP1_01,ROLE_COMP1_02,ROLE_COMP1_03,ROLE_COMP2_01,ROLE_COMP2_02,ROLE_COMP2_03
29,Yes,Travel_Rarely,Human Resources,2,Life Sciences,3,Female,HR Specialist,1,Married,3,5,2,1,0,3.14,1.92,2.62,1.43,2.65,1.03,3.05,2.95,2.92,2.43,2.06,3.17,2.34,38.49,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
25,No,Travel_Rarely,Human Resources,3,Marketing,4,Male,HR Specialist,4,Single,3,2,1,0,0,4.0,4.0,3.83,3.58,3.82,2.8,3.45,3.48,2.95,3.77,3.96,2.93,2.79,75.32,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
37,Yes,Travel_Frequently,Human Resources,3,Life Sciences,1,Non-Binary,HR Specialist,1,Divorced,3,13,10,7,6,2.14,1.49,1.76,2.95,2.99,1.75,2.56,3.36,2.28,3.69,2.83,2.92,3.32,37.37,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
30,No,Travel_Rarely,Human Resources,1,Computer Science,3,Female,HR Specialist,1,Married,4,7,3,1,0,3.43,2.0,3.33,3.24,3.28,1.99,3.09,2.6,3.72,3.1,1.99,3.11,2.39,47.58,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
18,No,Travel_Rarely,Human Resources,3,Information Systems,3,Male,HR Specialist,2,Single,4,0,0,0,0,3.74,4.0,3.48,3.31,2.68,2.62,1.51,3.01,3.05,1.67,3.29,3.19,4.0,53.35,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
44,No,Travel_Rarely,Human Resources,4,Medical,2,Male,HR Specialist,4,Single,3,13,7,3,2,1.37,2.74,4.0,3.21,1.98,2.38,3.34,3.57,3.67,3.5,3.36,3.71,3.73,63.04,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
34,No,Travel_Rarely,Human Resources,3,Life Sciences,3,Male,HR Specialist,4,Married,3,11,7,4,2,4.0,4.0,3.66,3.35,3.57,2.2,3.51,2.99,2.92,3.17,2.58,3.78,3.61,71.19,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
30,Yes,Travel_Frequently,Human Resources,3,Human Resources,3,Female,HR Specialist,4,Divorced,2,6,4,2,2,3.5,3.35,4.0,3.83,3.61,2.58,4.0,4.0,3.99,2.79,3.91,2.28,3.32,72.37,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
31,No,Travel_Frequently,Human Resources,3,Information Systems,1,Female,HR Specialist,3,Married,3,8,5,3,2,2.94,1.6,3.65,1.7,2.41,3.64,3.2,2.7,2.5,1.97,1.84,3.48,2.95,44.23,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
42,No,No_Travel,Human Resources,3,Information Systems,3,Female,HR Specialist,1,Married,3,12,8,3,2,2.35,3.13,2.54,1.58,1.91,3.41,3.79,3.62,2.29,3.77,2.41,2.41,4.0,49.5,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
23,Yes,Travel_Rarely,Human Resources,1,Marketing,1,Female,HR Specialist,3,Married,4,0,0,0,0,3.22,2.87,3.8,4.0,3.47,2.34,3.83,3.21,2.55,2.56,2.48,1.89,2.32,47.63,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
23,No,No_Travel,Human Resources,1,Information Systems,1,Male,HR Specialist,1,Married,3,0,0,0,0,1.83,3.93,3.4,3.33,2.75,2.44,2.31,2.3,2.71,1.34,3.46,1.85,2.22,32.11,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
38,No,Travel_Frequently,Human Resources,2,Computer Science,3,Female,HR Specialist,1,Single,4,5,5,4,4,3.38,1.85,1.62,1.4,2.45,2.24,3.55,2.16,1.87,2.25,3.74,2.88,2.5,39.7,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
19,No,Travel_Frequently,Human Resources,3,Marketing,3,Male,HR Specialist,3,Single,3,4,0,0,0,3.4,2.47,3.4,2.58,2.67,2.53,1.73,3.51,1.88,2.82,3.28,3.8,2.81,54.19,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
30,No,Travel_Rarely,Human Resources,3,Life Sciences,2,Male,HR Specialist,3,Divorced,3,6,3,1,0,2.8,2.45,3.64,1.89,3.33,2.79,3.69,2.75,2.21,3.77,3.59,2.27,3.3,53.42,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
33,No,Travel_Frequently,Human Resources,3,Life Sciences,3,Male,HR Specialist,1,Single,1,10,8,3,2,2.8,2.26,2.43,3.39,3.54,2.73,1.6,2.29,2.73,2.48,2.61,4.0,3.51,47.82,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
24,No,Travel_Rarely,Human Resources,4,Information Systems,1,Female,HR Specialist,2,Married,3,9,4,4,4,2.68,2.33,2.81,3.25,1.38,2.86,2.8,2.49,1.39,2.53,3.21,2.25,2.61,37.25,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
38,No,Travel_Frequently,Human Resources,2,Medical,1,Female,HR Specialist,3,Single,2,13,6,4,3,1.96,3.29,2.35,2.88,2.84,1.84,3.25,2.93,2.31,1.32,3.64,2.0,3.0,44.01,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
49,No,Travel_Frequently,Human Resources,3,Computer Science,1,Male,HR Specialist,2,Divorced,3,5,0,0,0,2.98,2.02,3.14,2.09,2.78,2.26,1.0,2.25,2.76,1.99,2.83,2.34,2.68,33.02,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
22,Yes,Travel_Frequently,Human Resources,3,Life Sciences,4,Female,HR Specialist,2,Married,3,0,0,0,0,2.26,3.47,2.14,2.97,2.87,1.0,4.0,3.79,2.97,3.42,2.37,3.64,3.73,56.1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
46,No,No_Travel,Human Resources,2,Life Sciences,3,Male,HR Specialist,1,Single,2,22,15,9,7,3.85,3.34,2.77,2.54,2.7,3.16,3.18,2.52,2.48,3.25,2.51,3.44,1.91,54.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
31,No,Travel_Frequently,Human Resources,3,Life Sciences,2,Non-Binary,HR Specialist,4,Single,2,8,4,1,0,1.86,1.92,3.28,1.76,2.82,3.48,2.87,2.51,2.84,2.36,3.73,2.24,3.28,52.69,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
37,No,Travel_Rarely,Human Resources,3,Marketing,4,Female,HR Specialist,3,Single,4,12,10,6,4,1.81,2.18,3.75,4.0,3.2,3.48,3.47,4.0,2.89,3.21,3.6,2.24,3.19,68.55,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
31,Yes,Travel_Rarely,Human Resources,4,Medical,2,Male,HR Specialist,3,Single,3,8,5,2,1,2.36,3.15,3.49,1.79,3.42,2.04,2.63,3.58,2.18,2.47,2.32,2.5,2.93,48.68,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
35,No,Travel_Frequently,Human Resources,3,Medical,2,Female,HR Specialist,3,Single,3,9,7,3,2,2.44,3.61,2.75,3.67,3.0,4.0,3.49,2.97,3.44,3.63,3.18,3.01,2.92,60.47,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
22,Yes,No_Travel,Human Resources,2,Other,2,Female,HR Specialist,3,Married,2,4,4,2,3,2.53,2.52,4.0,1.62,1.43,3.15,2.67,2.53,3.47,2.93,2.27,2.62,2.35,46.66,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
39,No,Travel_Rarely,Human Resources,3,Computer Science,2,Female,HR Specialist,3,Divorced,3,11,7,4,2,2.57,2.19,3.32,2.85,2.14,3.91,2.01,2.02,2.8,3.4,2.9,2.48,2.97,50.88,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
33,Yes,Travel_Rarely,Human Resources,1,Medical,1,Male,HR Specialist,4,Divorced,3,8,4,3,3,3.28,2.47,4.0,2.95,2.5,3.41,2.39,2.96,1.64,2.13,3.2,2.4,3.2,51.3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
30,No,No_Travel,Human Resources,4,Marketing,2,Male,HR Specialist,1,Married,1,4,1,0,0,1.8,1.42,3.07,2.58,3.66,2.85,2.84,2.98,2.81,1.67,2.98,2.63,2.95,37.77,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
23,No,Travel_Frequently,Human Resources,3,Life Sciences,4,Male,HR Specialist,1,Married,3,0,0,0,0,4.0,2.32,3.35,2.48,3.39,2.54,2.59,2.03,3.52,2.28,3.21,2.42,3.22,49.96,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
35,No,Travel_Frequently,Human Resources,5,Information Systems,4,Female,HR Specialist,2,Divorced,2,10,6,3,2,3.32,3.0,3.55,2.2,3.62,3.92,3.1,2.88,3.22,2.73,3.24,3.05,3.37,63.29,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
37,No,Travel_Rarely,Human Resources,3,Other,4,Non-Binary,HR Specialist,3,Married,4,12,6,2,1,3.56,3.27,4.0,2.47,2.95,2.06,3.19,2.96,3.53,3.09,3.64,3.36,2.44,66.65,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
30,No,Travel_Rarely,Human Resources,1,Other,3,Female,HR Specialist,2,Single,3,7,4,2,1,2.57,2.32,2.09,2.67,2.62,3.2,1.8,2.37,3.7,3.06,3.23,2.47,3.55,49.55,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
37,No,Travel_Rarely,Human Resources,3,Computer Science,2,Male,HR Specialist,4,Single,3,12,9,4,2,3.66,3.21,2.41,2.54,3.03,4.0,3.0,3.22,2.76,2.11,3.36,3.27,2.7,61.25,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
18,No,Travel_Frequently,Human Resources,1,Computer Science,1,Female,HR Specialist,4,Single,3,0,0,0,0,3.16,3.89,2.62,2.41,2.8,1.89,2.21,4.0,2.08,3.87,2.88,4.0,2.49,51.42,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
40,No,Travel_Rarely,Human Resources,2,Technical Degree,3,Female,HR Specialist,1,Married,3,13,10,6,4,2.25,1.37,3.24,3.11,3.04,2.12,2.72,3.7,2.74,3.35,2.26,2.72,3.31,48.41,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
29,Yes,Travel_Rarely,Human Resources,4,Information Systems,4,Male,HR Specialist,2,Married,4,6,2,0,0,3.82,2.42,3.12,4.0,4.0,3.57,3.52,2.81,3.22,2.08,3.21,2.96,4.0,63.88,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
20,No,Travel_Frequently,Human Resources,3,Medical,2,Female,HR Specialist,4,Married,4,0,0,0,0,2.68,4.0,2.95,3.19,3.65,3.31,3.96,2.74,3.33,2.65,3.37,3.13,2.89,61.05,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
30,No,Travel_Frequently,Human Resources,3,Computer Science,4,Male,HR Specialist,4,Married,3,7,5,3,2,2.03,4.0,3.16,2.98,2.4,2.99,3.94,3.33,2.05,3.98,3.93,3.57,2.99,71.12,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
46,No,Travel_Rarely,Human Resources,3,Life Sciences,3,Male,HR Specialist,2,Single,3,18,10,6,5,2.41,1.83,3.0,1.0,2.73,1.94,1.8,3.0,3.14,2.5,3.6,4.0,2.64,50.01,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
37,No,Travel_Rarely,Human Resources,4,Information Systems,3,Female,HR Specialist,4,Married,2,13,8,6,5,2.56,1.91,3.01,1.64,3.56,3.03,3.88,2.71,4.0,2.96,3.71,2.97,2.83,65.04,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
27,No,Travel_Rarely,Human Resources,4,Computer Science,4,Male,HR Specialist,4,Divorced,2,8,7,6,1,2.6,4.0,3.92,2.43,3.83,2.49,4.0,3.25,3.24,3.9,3.03,2.98,3.74,75.02,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
23,No,No_Travel,Human Resources,4,Medical,2,Male,HR Specialist,2,Divorced,3,0,0,0,0,3.38,2.01,2.99,2.84,2.11,2.51,2.9,2.69,3.13,3.29,3.56,3.29,1.72,44.36,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
31,No,Travel_Frequently,Human Resources,2,Other,1,Female,HR Specialist,2,Single,3,6,2,0,0,4.0,3.78,1.94,2.59,2.1,2.03,2.9,2.26,2.58,3.46,3.53,2.73,3.11,42.58,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
56,No,Travel_Rarely,Human Resources,3,Life Sciences,3,Female,HR Specialist,1,Divorced,3,19,2,2,2,3.59,3.24,3.22,2.11,2.85,3.74,2.72,3.48,3.01,2.91,3.28,3.21,2.22,53.54,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
36,No,No_Travel,Human Resources,3,Life Sciences,1,Female,HR Specialist,1,Married,3,10,8,7,5,1.01,1.87,3.39,1.43,2.02,1.1,1.98,1.06,3.46,2.24,2.93,1.31,2.25,24.15,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
33,No,No_Travel,Human Resources,2,Other,4,Female,HR Specialist,3,Single,3,7,5,3,2,4.0,3.15,2.68,2.38,2.77,2.43,2.95,4.0,3.37,3.25,3.15,3.14,3.2,65.59,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
36,Yes,Travel_Frequently,Human Resources,3,Information Systems,2,Male,HR Specialist,3,Married,3,9,7,4,3,2.46,3.32,3.73,3.61,3.56,3.14,3.43,4.0,2.88,2.36,2.67,4.0,3.12,60.88,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
41,Yes,Travel_Rarely,Human Resources,1,Other,3,Male,HR Specialist,4,Married,2,15,11,5,4,3.16,2.95,2.93,2.23,3.28,2.67,3.24,2.58,2.97,4.0,2.57,2.19,3.07,64.29,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
23,No,Travel_Rarely,Human Resources,4,Marketing,4,Female,HR Specialist,2,Single,3,0,0,0,0,3.58,3.47,3.11,2.79,3.38,3.18,2.42,4.0,1.39,3.33,3.13,1.31,2.54,54.56,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
40,No,No_Travel,Human Resources,4,Marketing,1,Female,HR Specialist,1,Married,3,12,8,4,3,2.29,1.29,3.06,4.0,1.85,2.13,2.38,2.19,3.16,2.97,1.68,2.97,3.44,35.47,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
